country,duration_seconds,english_cname,id,species,latitude,longitude
United States,3,Abert's Towhee,17804,aberti,33.3117,-114.68911999999999
United States,4,Abert's Towhee,177367,aberti,34.285,-114.069
United States,4,Abert's Towhee,145505,aberti,34.285,-114.069
United States,5,Abert's Towhee,228159,aberti,33.1188,-115.7945
United States,5,Abert's Towhee,51313,aberti,36.0628,-115.1128
United States,6,Abert's Towhee,111831,aberti,32.743,-113.955
United States,6,Abert's Towhee,289047,aberti,34.2599,-114.1567
United States,7,Abert's Towhee,119222,aberti,36.51300000000001,-114.41799999999999
United States,8,Abert's Towhee,314730,aberti,32.7257,-114.6074
United States,8,Abert's Towhee,288434,aberti,34.8464,-114.5233
United States,8,Abert's Towhee,138142,aberti,36.0753,-115.0101
United States,8,Abert's Towhee,217707,aberti,32.969,-115.5534
United States,9,Abert's Towhee,228158,aberti,33.1188,-115.7945
United States,10,Abert's Towhee,228157,aberti,33.1188,-115.7945
United States,11,Abert's Towhee,217705,aberti,33.0754,-115.5103
United States,13,Abert's Towhee,110755,aberti,33.507,-114.656
United States,17,Abert's Towhee,288439,aberti,34.8464,-114.5233
United States,19,Abert's Towhee,452092,aberti,32.9694,-115.5552
United States,21,Abert's Towhee,408554,aberti,33.5711,-116.1696
United States,21,Abert's Towhee,408552,aberti,33.5711,-116.1696
United States,21,Abert's Towhee,452519,aberti,36.1012,-115.0251
United States,21,Abert's Towhee,129399,aberti,33.6876,-114.5339
United States,22,Abert's Towhee,17802,aberti,36.0753,-115.0101
United States,24,Abert's Towhee,475183,aberti,36.7152,-114.7146
United States,30,Abert's Towhee,111830,aberti,32.743,-113.955
United States,34,Abert's Towhee,217703,aberti,32.969,-115.5534
United States,34,Abert's Towhee,240260,aberti,34.8557,-114.5482
United States,38,Abert's Towhee,289247,aberti,34.1477,-114.3077
United States,60,Abert's Towhee,452564,aberti,33.0624,-115.4991
United States,77,Abert's Towhee,176539,aberti,34.285,-114.069
United States,6,Acorn Woodpecker,217729,formicivorus,32.9063,-116.4733
United States,7,Acorn Woodpecker,217736,formicivorus,32.9063,-116.4733
United States,7,Acorn Woodpecker,206686,formicivorus,36.4916,-121.147
United States,8,Acorn Woodpecker,125254,formicivorus,35.5356,-120.7241
United States,8,Acorn Woodpecker,217727,formicivorus,32.9063,-116.4733
United States,8,Acorn Woodpecker,217712,formicivorus,32.982,-116.574
United States,8,Acorn Woodpecker,217734,formicivorus,32.9063,-116.4733
United States,9,Acorn Woodpecker,448826,formicivorus,32.8814,-116.4632
United States,10,Acorn Woodpecker,451184,formicivorus,32.8814,-116.4632
United States,10,Acorn Woodpecker,451186,formicivorus,32.8814,-116.4632
United States,10,Acorn Woodpecker,217719,formicivorus,32.6809,-116.8189
United States,11,Acorn Woodpecker,191753,formicivorus,35.0913,-113.8886
United States,11,Acorn Woodpecker,356757,formicivorus,32.8626,-116.4618
United States,11,Acorn Woodpecker,451200,formicivorus,32.8814,-116.4632
United States,12,Acorn Woodpecker,451182,formicivorus,32.8814,-116.4632
United States,12,Acorn Woodpecker,332645,formicivorus,36.4836,-121.1659
United States,12,Acorn Woodpecker,408301,formicivorus,34.813,-119.1457
United States,12,Acorn Woodpecker,217737,formicivorus,33.3431,-116.8784
United States,12,Acorn Woodpecker,217730,formicivorus,32.9063,-116.4733
United States,14,Acorn Woodpecker,225551,formicivorus,32.8693,-116.4162
United States,14,Acorn Woodpecker,217717,formicivorus,32.6809,-116.8189
United States,14,Acorn Woodpecker,217728,formicivorus,32.9063,-116.4733
United States,15,Acorn Woodpecker,376286,formicivorus,35.332,-120.415
United States,15,Acorn Woodpecker,187296,formicivorus,36.4744,-121.1864
United States,15,Acorn Woodpecker,217722,formicivorus,32.6809,-116.8189
United States,16,Acorn Woodpecker,358615,formicivorus,34.0189,-119.6839
United States,16,Acorn Woodpecker,481135,formicivorus,36.4728,-121.1873
United States,17,Acorn Woodpecker,451183,formicivorus,32.8814,-116.4632
United States,17,Acorn Woodpecker,413024,formicivorus,34.4565,-119.71
United States,17,Acorn Woodpecker,217731,formicivorus,32.9063,-116.4733
United States,3,American Bushtit,297437,minimus,35.9792,-118.3637
United States,5,American Bushtit,149395,minimus,32.6287,-116.92299999999999
United States,6,American Bushtit,149392,minimus,32.6287,-116.92299999999999
United States,6,American Bushtit,149402,minimus,32.5583,-117.103
United States,9,American Bushtit,306327,minimus,33.5448,-117.2695
United States,11,American Bushtit,359137,minimus,34.0484,-116.5682
United States,12,American Bushtit,443468,minimus,38.9938,-122.2242
United States,12,American Bushtit,347355,minimus,38.5109,-121.5173
United States,15,American Bushtit,149398,minimus,32.6287,-116.92299999999999
United States,16,American Bushtit,418027,minimus,38.4748,-114.6719
United States,17,American Bushtit,358548,minimus,32.7507,-116.6683
United States,20,American Bushtit,149403,minimus,32.5583,-117.103
United States,21,American Bushtit,228622,minimus,32.5899,-117.1264
United States,23,American Bushtit,149393,minimus,32.6287,-116.92299999999999
United States,23,American Bushtit,453072,minimus,33.0174,-117.0248
United States,25,American Bushtit,149397,minimus,32.6287,-116.92299999999999
United States,27,American Bushtit,149387,minimus,32.705999999999996,-117.1036
United States,27,American Bushtit,14550,minimus,37.3359,-118.1873
United States,27,American Bushtit,350673,minimus,35.268,-115.29299999999999
United States,27,American Bushtit,350681,minimus,32.7231,-116.9473
United States,29,American Bushtit,90535,minimus,35.336,-120.727
United States,31,American Bushtit,283953,minimus,32.5547,-117.0634
Mexico,31,American Bushtit,339894,minimus,32.5372,-116.9394
United States,31,American Bushtit,450763,minimus,32.5547,-117.0634
United States,31,American Bushtit,450764,minimus,32.5547,-117.0634
United States,33,American Bushtit,363349,minimus,38.0188,-119.1633
United States,33,American Bushtit,256216,minimus,38.703,-118.9726
United States,33,American Bushtit,149390,minimus,32.6809,-116.8189
United States,34,American Bushtit,350680,minimus,34.186,-116.9004
United States,34,American Bushtit,350663,minimus,36.548,-117.4878
United States,3,American Crow,413789,brachyrhynchos,34.1639,-118.6467
United States,6,American Crow,114558,brachyrhynchos,37.6917,-121.1868
United States,6,American Crow,306320,brachyrhynchos,33.5448,-117.2695
United States,7,American Crow,221648,brachyrhynchos,32.5899,-117.1264
United States,8,American Crow,205241,brachyrhynchos,37.369,-118.398
United States,10,American Crow,205240,brachyrhynchos,37.369,-118.398
United States,10,American Crow,131445,brachyrhynchos,34.1966,-118.1334
United States,11,American Crow,413030,brachyrhynchos,34.4565,-119.71
